EZEQUIEL RODRIGUEZ | Prioridad: Sí | Transacciones: consulta,retiro,deposito,
GABRIEL VILLEGAS | Prioridad: No | Transacciones: retiro,consulta,
JUAN VALERIO | Prioridad: Sí | Transacciones: retiro,actualizacion/libreta,
KEVIN OYAGA | Prioridad: No | Transacciones: retiro,
ADRIAN TESTA | Prioridad: No | Transacciones: retiro,consulta,retiro,
LUIS SUAREZ | Prioridad: No | Transacciones: retiro,consulta,
GABRIEL VICENTE | Prioridad: Sí | Transacciones: retiro,
EDGAR RUIZ | Prioridad: No | Transacciones: retiro,
MOHAMED ROJAS | Prioridad: Sí | Transacciones: retiro,
MARCOS JESUS | Prioridad: No | Transacciones: retiro,deposito,actualizacion/libreta,
PEDRO RIOS | Prioridad: No | Transacciones: retiro,
ANDRES ORTEGA | Prioridad: Sí | Transacciones: actualizacion/libreta,retiro,
NORBENYS NORIEGA | Prioridad: No | Transacciones: retiro,
DIEGO MILLAN | Prioridad: No | Transacciones: retiro,
RAFAEL MARTINEZ | Prioridad: Sí | Transacciones: retiro,
OSWALD MARIN | Prioridad: No | Transacciones: pago/Servicios,actualizacion/libreta,
YADIRA MARCANO | Prioridad: No | Transacciones: retiro,pago/Servicios,
ERNESTO LUCENA | Prioridad: No | Transacciones: retiro,
VALENTINA LEON | Prioridad: Sí | Transacciones: retiro,
PEDRO HERNANDEZ | Prioridad: No | Transacciones: pago/Servicios,retiro,
ALBERT HENRIQUEZ | Prioridad: No | Transacciones: retiro,
LUIS CORDOVA | Prioridad: No | Transacciones: retiro,
MOHAMAD CHAWCHAR | Prioridad: No | Transacciones: retiro,actualizacion/libreta,pago/Servicios,
VICENTE SPADARO | Prioridad: No | Transacciones: retiro,consulta,
YOHAN BRICEÑO | Prioridad: No | Transacciones: retiro,consulta,deposito,
